class_1,class_2,class_3,class_4,class_5,class_6
0.10960211867291847,0.07823287399937418,1.0,0.1105151676505569,0.0,0.31384636472262023
0.13162645558702094,0.04872548510546818,0.8939406605356996,0.06288458010046304,0.2057626094990753,0.3056560736026353
0.15961176014917247,0.040037874055806624,0.8534005045914828,0.05847927922026314,0.039089933200478405,0.2426697367780204
0.07519746893516935,0.03070078260045317,0.8153299772737943,0.026837697128845057,0.3279899132148083,0.25462716051351286
0.13655974326537537,0.026163680721100795,0.8602977855612706,0.058577885158170764,0.1672792863851057,0.27865988768112704
0.04221170029220568,0.06340537410543384,0.7740154555381709,0.08794551834570954,0.09937810380988021,0.6980352219455668
0.0,0.0,0.7526664312040428,0.05084588899225725,0.33579537369128637,0.5796362418504116
0.06709388244763774,0.07667197067391511,0.7990365131124985,0.04363897217940507,0.3262025105354063,1.0
0.03000295933874352,0.05804747371786645,0.731455698996333,0.06440710994245763,0.03174856914627134,0.4722854421993798
0.11505549285819915,0.05292704880615935,0.7770353900381781,0.042822637310728405,0.0730963629051947,0.32961153579530594
0.0584104775512805,0.07070948304198059,0.7592203783933705,0.08237981550946825,0.2540863815109254,0.31003715578836966
0.1374876351091072,0.08062321397799117,0.9074078683612884,0.08384487059962623,0.34295072460648607,0.5589937583713448
0.04173148499654934,0.10486881934983468,0.7562852550166724,0.13554305709177403,0.48708483531662844,0.4774906215461601
0.11028306911079341,0.13553833421397274,0.7104122489065492,0.032760749266346534,0.19909109355769117,0.6791208955350501
0.10508761974623754,0.23096996810310957,0.7683731420543204,0.09919658184879326,0.6235232285491212,0.17146158055605581
0.1622100219446592,0.1782262879870428,0.7665774222969255,0.07213444234787006,0.24391603082309987,0.30682976181651295
0.0926777266830261,0.11940764340483859,0.7644861742336864,0.06362513241668251,0.3620475667409751,0.4689880714417731
0.15763903717138142,0.1642461336496242,0.7911484642383573,0.081152278874212,0.9527189170760761,0.4455418266120567
0.059315563062172234,0.2193472106338871,0.7663665400030769,0.0,0.7814455494287119,0.12928781071192544
0.08980297131016644,1.0,0.7508928109711566,0.10741964866692741,0.6149544923286133,0.46699173694794244
0.07394747341954601,0.13511022679463575,0.7518274008777259,0.16896074169708522,0.693194318261989,0.3808980184362526
0.06169164520121305,0.9605311431403915,0.762714130713669,0.11891239319993475,0.5840870217925814,0.28834158485048933
1.0,0.2393576526698384,0.0,1.0,1.0,0.0
