class_1,class_2,class_3,class_4,class_5,class_6
0.15286927739067613,0.9525103912352326,0.8079216310881455,0.04863502045739288,0.0621911243465969,0.7245830302778585
0.15687940808303183,0.9359626833146248,0.7843395219796021,0.0,0.4286000255881521,0.7768627189570853
0.19751677128305636,0.927529739432251,0.7953356614208296,0.16711574965344725,0.44844853475557883,0.7100321190999489
0.2601116166298192,0.9175569796145173,0.8524310752371268,0.1904626177593117,0.2721454020784918,0.0
0.23893346687474634,0.8313862449500498,0.8344283704291078,0.1534078448803256,0.41757666534276994,0.7263017482907822
0.16250698385928522,0.9053422556635229,0.613608866369196,0.2093824521261669,0.7236439395311518,0.6944985086404647
0.01504224773105503,0.9908057883329189,0.6602577233724797,0.12675951173950553,1.0,0.8228547124422492
0.4313421399972681,0.8996094324398248,0.67747394729915,0.13528883921564797,0.5335895286752849,0.9362873922730989
0.0,0.8967424638522001,0.7250151358899216,0.20174768189454603,0.5973953650096209,0.7589081596731763
0.2263598953527079,0.7167179584808206,0.6617511659947061,0.16614980023027923,0.4536151020518292,0.7997988531965946
0.42689357438127007,0.7319721704333791,0.4456956242689692,0.8607455457874257,0.9436859466584648,0.5363779064089966
0.3224904007036848,0.8253204985200218,0.0,0.39804725202938207,0.7986383497329036,0.3638435190043647
1.0,0.6367711122950273,1.0,1.0,0.9624118124361699,0.5685507988385936
0.28897383772103974,0.0,0.8380647831962226,0.6302537677021768,0.0,0.8200753225713187
0.12085162434650948,1.0,0.3136398391350844,0.06535816106646646,0.3492505741180034,0.3331765702917934
0.07854428217906445,0.9878727910664516,0.6764141762312438,0.02445568445727596,0.6039014245129898,0.6745915534370596
0.17638072122643267,0.8961734613949213,0.6691545949106862,0.1168536125808755,0.6155961990168498,1.0
0.20914889567268685,0.5761752655189467,0.5648999027275367,0.12014563502110862,0.5210909919940238,0.8222334226225341
0.10972701994228623,0.6904957737569927,0.6254780068262549,0.2815924289258251,0.22195337676225996,0.7409797444240168
0.1562240289846245,0.8839078388553696,0.730260989955895,0.09317925356106048,0.3648430369223041,0.47842413225628294
0.17294922419864023,0.981863991280047,0.8946660596546273,0.04795827854625585,0.5604740559128369,0.6759447633640694
0.11273930486837361,0.9161138515158382,0.7742952175096306,0.0623076526558112,0.5956928556409266,0.727521013402246
0.10567506053289899,0.9458900823398535,0.7737856880398769,0.058871147600284356,0.6182134341924885,0.7204373769859148
